55.70466,13.19101
55.70668,13.18917
55.70661,13.18919
55.70654,13.18921
55.70646,13.18925
55.70641,13.18923
55.70634,13.18925
55.70627,13.18928
55.7062,13.1893
55.70612,13.18932
55.70608,13.18933
55.70601,13.18937
55.70597,13.18936
55.70589,13.18937
55.70583,13.18941
55.70577,13.18942
55.70568,13.18942
55.70562,13.18943
55.70554,13.18945
55.70548,13.18945
55.70539,13.18946
55.70531,13.18949
55.70527,13.1895
55.70527,13.18966
55.70528,13.18993
55.70528,13.19006
55.70528,13.19024
55.70528,13.19039
55.70528,13.19055
55.70531,13.19069
55.7055,13.19085
55.70568,13.19098
55.70585,13.19112
55.70602,13.19129
55.7062,13.19143
55.70632,13.19155
55.70639,13.19127
55.70642,13.19101
55.70645,13.19089
55.70649,13.19059
55.70651,13.19041
55.70657,13.19012
55.70657,13.19
55.7066,13.18987
55.70663,13.18966
55.70667,13.18945
55.70667,13.18938
