55.70718,13.18756
55.70713,13.18757
55.70707,13.18757
55.70701,13.18759
55.70695,13.18759
55.70688,13.18759
55.70683,13.18758
55.7068,13.18759
55.70681,13.18767
55.70681,13.18774
55.70681,13.18787
55.70682,13.18795
55.70681,13.18804
55.7068,13.18813
55.7068,13.18824
55.7068,13.18833
55.70679,13.18841
55.70679,13.1885
55.70677,13.18856
55.70676,13.18865
55.70675,13.18871
55.70674,13.18878
55.70673,13.18885
55.70672,13.18892
55.70672,13.18899
55.7067,13.18905
55.70669,13.18912
55.70667,13.18918
55.7068,13.18916
55.70692,13.18915
55.70704,13.18914
55.70715,13.18916
55.70727,13.18918
55.70734,13.18918
55.70746,13.18917
55.70759,13.18916
55.70762,13.18909
55.70762,13.18902
55.70762,13.18895
55.70763,13.18888
55.70763,13.18878
55.70763,13.18867
55.70763,13.1886
55.70763,13.1885
55.70763,13.1884
55.70763,13.18833
55.70763,13.18824
55.70764,13.1881
55.70764,13.18801
55.70764,13.18793
55.70763,13.18785
55.70763,13.18775
55.70763,13.18769
55.70762,13.18763
55.70759,13.18756
55.70754,13.18757
55.70749,13.18757
55.70745,13.18757
55.70739,13.18758
55.70733,13.18758
55.70728,13.18757
55.70723,13.18759
